song_id,entry_date,exit_date,total_days,peak_rank,avg_rank,peak_date,days_to_peak,artist,album_type,is_explicit,duration_ms,total_tracks,popularity,lifecycle_type
CHIHIRO-Billie Eilish,2025-05-19,2025-05-25,7,39,46.0,2025-05-19,0,Billie Eilish,album,False,303440,10,61,Short Hit
CHORRITO PA LAS ANIMAS-Feid,2024-05-18,2024-06-14,28,32,38.892857142857146,2024-05-18,0,Feid,single,True,168133,6,91,Medium Run
CHULA-JC Reyes,2024-12-28,2025-01-20,8,49,49.625,2025-01-17,20,JC Reyes,single,False,152842,1,69,Short Hit
CLASSY 101-Feid,2024-12-02,2025-01-17,28,16,41.285714285714285,2024-12-02,0,Feid,album,True,195586,10,0,Medium Run
CLASSY 101-Feid & Young Miko,2024-12-01,2024-12-01,1,35,35.0,2024-12-01,0,Feid & Young Miko,single,True,195986,1,92,Short Hit
COCO LOCO-Maluma,2024-07-01,2024-11-26,113,9,22.36283185840708,2024-08-06,36,Maluma,single,False,166734,1,83,Long Runner
COLMILLO-Tainy,2024-10-19,2024-11-14,9,18,35.666666666666664,2024-11-10,22,Tainy,album,True,265999,20,64,Short Hit
COMETA HALLEY-SAIKO,2025-04-28,2025-05-05,8,24,33.875,2025-04-28,0,SAIKO,album,True,230549,16,59,Short Hit
COMO SUENAN LAS ESTRELLAS-SAIKO,2025-04-28,2025-05-19,22,24,36.72727272727273,2025-04-30,2,SAIKO,album,False,138677,16,58,Medium Run
COMPETENCIA-Myke Towers,2025-08-24,2025-08-25,2,19,34.0,2025-08-24,0,Myke Towers,album,True,190826,20,0,Short Hit
COMUNA 3-JC Reyes & The Rude Boyz,2025-05-16,2025-05-17,2,38,42.5,2025-05-17,1,JC Reyes & The Rude Boyz,single,False,154128,1,61,Short Hit
COMUNA 3-JC Reyes & The Rudeboyz,2025-05-18,2025-09-17,120,12,29.375,2025-06-05,18,JC Reyes & The Rudeboyz,single,False,154128,1,63,Long Runner
CONTIGO (with Tiësto)-KAROL G & Tiësto,2025-02-17,2025-03-24,35,13,26.114285714285714,2025-02-18,1,KAROL G & Tiësto,single,False,192786,1,73,Medium Run
CORAZÓN VACÍO-Maria Becerra,2024-07-05,2024-10-13,101,19,37.0,2024-07-19,14,Maria Becerra,single,False,160535,1,85,Long Runner
CORLEONE-Saiko,2024-12-24,2025-01-15,20,21,42.25,2024-12-24,0,Saiko,album,False,192000,7,44,Medium Run
CORLEONE-Saiko & Yandel,2024-12-17,2024-12-23,7,16,22.714285714285715,2024-12-21,4,Saiko & Yandel,single,False,192000,1,64,Short Hit
